종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량
베스파 *,"33,000","3,300",+11.11%,"32,850","33,000","92,904","2,985","41,719",
썸에이지 *,"3,750",260,+7.45%,"3,750","3,755","18,089,055","60,025","7,865,271",
미투온 *,"7,190",360,+5.27%,"7,180","7,190","2,001,363","14,246","430,435",
룽투코리아 *,"8,030",370,+4.83%,"8,020","8,030","660,573","5,235","381,832",
넷마블,"146,000","5,000",+3.55%,"146,000","146,500","809,222","117,837","390,405",
액토즈소프트 *,"9,640",260,+2.77%,"9,600","9,640","46,346",441,"73,709",
NHN,"73,600","1,900",+2.65%,"73,600","73,700","123,518","9,048","53,007",
위메이드 *,"59,400","1,500",+2.59%,"59,300","59,400","483,781","28,684","177,004",
네오위즈홀딩스 *,"45,900",900,+2.00%,"45,900","45,950","260,839","11,997","340,267",
네오위즈 *,"24,900",400,+1.63%,"24,850","24,900","284,234","7,056","354,912",
넷게임즈 *,"14,150",200,+1.43%,"14,100","14,150","211,414","2,961","202,352",
게임빌 *,"50,400",700,+1.41%,"50,400","50,500","59,376","3,004","80,970",
카카오게임즈 *,"57,900",500,+0.87%,"57,800","57,900","822,025","47,302","1,404,969",
액션스퀘어 *,"2,340",20,+0.86%,"2,340","2,345","249,891",579,"116,817",
조이맥스 *,"6,030",50,+0.84%,"6,030","6,040","174,613","1,061","131,878",
SNK *,"24,750",200,+0.81%,"24,750","24,800","141,894","3,509","144,534",
미투젠 *,"25,050",200,+0.80%,"25,050","25,100","29,621",740,"44,677",
베노홀딩스 *,"6,970",30,+0.43%,"6,960","6,970","80,226",555,"156,950",
선데이토즈 *,"24,800",100,+0.40%,"24,800","24,850","149,949","3,686","325,834",
한빛소프트 *,"6,940",10,+0.14%,"6,940","6,950","627,500","4,335","916,471",
아이톡시 *,"3,180",0,0.00%,0,0,0,0,0,
COWON *,"2,860",0,0.00%,0,0,0,0,0,
넥슨지티 *,"14,600",0,0.00%,"14,600","14,650","204,135","2,989","439,638",
드래곤플라이 *,"2,310",0,0.00%,"2,305","2,310","176,530",404,"152,270",
데브시스터즈 *,"127,500",400,-0.31%,"127,500","127,600","249,392","31,713","583,208",
펄어비스 *,"67,000",300,-0.45%,"67,000","67,400","817,339","56,693",0,
엔씨소프트,"912,000","8,000",-0.87%,"912,000","913,000","52,208","47,843","61,393",
골프존 *,"90,000","1,000",-1.10%,"90,000","90,200","45,248","4,093","42,091",
컴투스 *,"172,000","2,300",-1.32%,"171,900","172,000","129,264","22,446","112,404",
더블유게임즈,"68,400","1,000",-1.44%,"68,400","68,500","118,946","8,164","143,218",
넵튠 *,"26,200",400,-1.50%,"26,200","26,250","223,420","5,867","235,710",
웹젠 *,"39,400",600,-1.50%,"39,400","39,450","920,509","36,340","1,203,606",
엠게임 *,"8,550",190,-2.17%,"8,540","8,550","1,467,952","12,583","1,445,924",
플레이위드 *,"11,400",450,-3.80%,"11,400","11,500","237,155","2,735","516,569",
조이시티 *,"9,690",410,-4.06%,"9,690","9,700","978,309","9,597","1,549,372",
